name,url,description,language,stars,forks,created_at,updated_at,size_kb,is_private,default_branch,ai_commit_sha,ai_commit_message,ai_commit_date,ai_marker_count,ai_confidence,ai_signals,total_commits_analyzed,ai_commits_found,ai_commit_ratio,ai_confidence_level,ai_commits,likely_ai_assisted,collected_at,search_query,domain,repo_id,ai_td_score,complexity_score,duplication_score,documentation_score,error_handling_score,severity
startup/copilot-utils,https://github.com/startup/copilot-utils,AI-powered Python devops-tools toolkit,Python,198,54,2024-03-24T17:36:28.877351Z,2025-03-28T17:36:28.877351Z,13477,False,main,8cad3f,update tests - co-authored-by: github copilot,2025-03-08T17:36:28.877351Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",307,67,0.2858,Medium,[],True,2026-03-03T17:36:28.877363,sample_dataset,devops-tools,19,0.4733,0.4604,0.5046,0.7963,0.8008,MEDIUM
datalab/llm-webdevelopment,https://github.com/datalab/llm-webdevelopment,Intelligent TypeScript framework with AI assistance,TypeScript,574,79,2025-02-21T17:36:28.877303Z,2025-07-17T17:36:28.877303Z,33821,False,main,3dfe2a,fix issue - generated by chatgpt,2025-07-08T17:36:28.877303Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",262,59,0.2495,High,[],True,2026-03-03T17:36:28.877314,sample_dataset,web-development,16,0.4761,0.5182,0.6539,0.6451,0.8875,MEDIUM
opensource/copilot-api,https://github.com/opensource/copilot-api,AI-powered TypeScript web-development toolkit,TypeScript,110,1,2023-10-31T17:36:28.877286Z,2024-07-25T17:36:28.877286Z,28150,False,main,898d58,implement parser - ai-assisted,2024-07-21T17:36:28.877286Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",309,7,0.1182,High,[],True,2026-03-03T17:36:28.877298,sample_dataset,web-development,15,0.4789,0.2024,0.6808,0.7957,0.6448,MEDIUM
researchgroup/detector-lib,https://github.com/researchgroup/detector-lib,JavaScript devops-tools library and toolkit,JavaScript,823,402,2024-04-30T17:36:28.877563Z,2025-10-24T17:36:28.877563Z,23845,False,main,,,,0,None,[],494,0,0.0,None,[],False,2026-03-03T17:36:28.877570,sample_dataset,devops-tools,26,0.3,0.2945,0.0656,0.072,0.2764,MEDIUM
datalab/smart-core,https://github.com/datalab/smart-core,AI-powered Python web-development toolkit,Python,147,22,2023-08-25T17:36:28.877079Z,2025-11-01T17:36:28.877079Z,19330,False,main,839f8f,implement analyzer - ai-assisted,2025-10-21T17:36:28.877079Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",117,14,0.2273,Medium,[],True,2026-03-03T17:36:28.877095,sample_dataset,web-development,4,0.3935,0.3615,0.4716,0.5408,0.764,MEDIUM
datalab/api-ai-assisted,https://github.com/datalab/api-ai-assisted,Automated Python web-development solution,Python,231,89,2023-11-14T17:36:28.877236Z,2025-08-20T17:36:28.877236Z,28283,False,main,321823,fix issue - generated by chatgpt,2025-08-19T17:36:28.877236Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",251,17,0.274,Medium,[],True,2026-03-03T17:36:28.877247,sample_dataset,web-development,12,0.4058,0.2274,0.4735,0.6295,0.6267,MEDIUM
researchgroup/kernel-core,https://github.com/researchgroup/kernel-core,JavaScript mobile-apps library and toolkit,JavaScript,2,1,2024-01-25T17:36:28.877701Z,2025-02-27T17:36:28.877701Z,17665,False,main,,,,0,None,[],73,0,0.0,None,[],False,2026-03-03T17:36:28.877708,sample_dataset,mobile-apps,37,0.2707,0.2853,0.0009,0.0356,0.2888,LOW
devteam/dashboard,https://github.com/devteam/dashboard,Production-ready Python web-development solution,Python,383,126,2023-11-16T17:36:28.877576Z,2025-12-15T17:36:28.877576Z,33162,False,main,,,,0,None,[],396,0,0.0,None,[],False,2026-03-03T17:36:28.877583,sample_dataset,web-development,27,0.3217,0.3523,0.0675,0.079,0.2668,MEDIUM
researchgroup/service-server,https://github.com/researchgroup/service-server,Lightweight JavaScript web-development utilities,JavaScript,355,52,2024-11-15T17:36:28.877725Z,2025-11-12T17:36:28.877725Z,43678,False,main,,,,0,None,[],376,0,0.0,None,[],False,2026-03-03T17:36:28.877732,sample_dataset,web-development,39,0.3118,0.1665,0.0861,0.3128,0.2889,MEDIUM
devteam/client-ai-assisted,https://github.com/devteam/client-ai-assisted,Intelligent Jupyter Notebook framework with AI assistance,Jupyter Notebook,975,474,2025-02-23T17:36:28.877129Z,2026-02-07T17:36:28.877129Z,25848,False,main,911dfe,implement analyzer - ai-assisted,2026-01-10T17:36:28.877129Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",71,90,0.2023,High,[],True,2026-03-03T17:36:28.877144,sample_dataset,web-development,6,0.4088,0.3752,0.5764,0.5414,0.8247,MEDIUM
opensource/api,https://github.com/opensource/api,Comprehensive JavaScript framework for mobile-apps,JavaScript,204,80,2024-02-10T17:36:28.877549Z,2024-06-09T17:36:28.877549Z,12066,False,main,,,,0,None,[],67,0,0.0,None,[],False,2026-03-03T17:36:28.877557,sample_dataset,mobile-apps,25,0.3363,0.3384,0.1179,0.167,0.3124,MEDIUM
datalab/llm-devopstools,https://github.com/datalab/llm-devopstools,Automated JavaScript devops-tools solution,JavaScript,63,5,2023-04-09T17:36:28.877186Z,2025-11-28T17:36:28.877186Z,10743,False,main,931d3d,implement utils - ai-assisted,2025-10-30T17:36:28.877186Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",403,95,0.2616,High,[],True,2026-03-03T17:36:28.877197,sample_dataset,devops-tools,9,0.5262,0.569,0.5263,0.8619,0.7937,MEDIUM
datalab/server-ai-assisted,https://github.com/datalab/server-ai-assisted,Automated Jupyter Notebook data-science solution,Jupyter Notebook,966,356,2024-04-05T17:36:28.877253Z,2025-01-26T17:36:28.877253Z,41756,False,main,57d674,fix error - generated by chatgpt,2025-01-21T17:36:28.877253Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",71,10,0.142,High,[],True,2026-03-03T17:36:28.877264,sample_dataset,data-science,13,0.4335,0.3923,0.4938,0.5811,0.6955,MEDIUM
devteam/core-core,https://github.com/devteam/core-core,TypeScript web-development library and toolkit,TypeScript,606,257,2024-10-21T17:36:28.877627Z,2025-10-27T17:36:28.877627Z,8774,False,main,,,,0,None,[],252,0,0.0,None,[],False,2026-03-03T17:36:28.877634,sample_dataset,web-development,31,0.1925,0.1421,0.0231,0.0542,0.4668,LOW
datalab/api,https://github.com/datalab/api,Production-ready JavaScript web-development solution,JavaScript,635,260,2023-10-28T17:36:28.877665Z,2024-08-24T17:36:28.877665Z,25426,False,main,,,,0,None,[],436,0,0.0,None,[],False,2026-03-03T17:36:28.877672,sample_dataset,web-development,34,0.257,0.1521,0.1479,0.2755,0.5227,LOW
techcorp/smart-engine,https://github.com/techcorp/smart-engine,Automated Python mobile-apps solution,Python,97,41,2023-08-30T17:36:28.877168Z,2023-12-12T17:36:28.877168Z,37704,False,main,3adcd0,implement parser - ai-assisted,2023-11-23T17:36:28.877168Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",376,32,0.0678,Medium,[],True,2026-03-03T17:36:28.877179,sample_dataset,mobile-apps,8,0.422,0.2606,0.5507,0.7102,0.7435,MEDIUM
researchgroup/ai-converter,https://github.com/researchgroup/ai-converter,Intelligent Jupyter Notebook framework with AI assistance,Jupyter Notebook,915,23,2024-12-27T17:36:28.877319Z,2025-07-17T17:36:28.877319Z,22443,False,main,8d867a,update tests - co-authored-by: github copilot,2025-07-05T17:36:28.877319Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",237,68,0.2493,Medium,[],True,2026-03-03T17:36:28.877329,sample_dataset,web-development,17,0.3824,0.3549,0.3602,0.7194,0.8321,MEDIUM
opensource/libframework,https://github.com/opensource/libframework,Jupyter Notebook devops-tools library and toolkit,Jupyter Notebook,915,333,2023-09-26T17:36:28.877537Z,2024-03-27T17:36:28.877537Z,43188,False,main,,,,0,None,[],309,0,0.0,None,[],False,2026-03-03T17:36:28.877544,sample_dataset,devops-tools,24,0.3142,0.2914,0.0044,0.3467,0.3746,MEDIUM
techcorp/ai-converter,https://github.com/techcorp/ai-converter,Intelligent Jupyter Notebook framework with AI assistance,Jupyter Notebook,855,218,2024-04-07T17:36:28.876926Z,2025-11-17T17:36:28.876926Z,10756,False,main,4e6908,update docs - co-authored-by: github copilot,2025-10-25T17:36:28.876926Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",356,25,0.1593,High,[],True,2026-03-03T17:36:28.876980,sample_dataset,mobile-apps,0,0.47,0.2888,0.4234,0.8943,0.6053,MEDIUM
researchgroup/runtime-core,https://github.com/researchgroup/runtime-core,Comprehensive JavaScript framework for web-development,JavaScript,771,14,2023-10-26T17:36:28.877653Z,2024-08-25T17:36:28.877653Z,40775,False,main,,,,0,None,[],272,0,0.0,None,[],False,2026-03-03T17:36:28.877660,sample_dataset,web-development,33,0.3087,0.1162,0.2524,0.1464,0.2741,MEDIUM
opensource/generated-platform,https://github.com/opensource/generated-platform,Machine learning Python library for devops-tools,Python,350,115,2023-04-24T17:36:28.877104Z,2023-12-06T17:36:28.877104Z,6914,False,main,97885d,add feature - generated by copilot,2023-11-28T17:36:28.877104Z,1,High,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",72,45,0.1615,High,[],True,2026-03-03T17:36:28.877120,sample_dataset,devops-tools,5,0.5188,0.3531,0.7824,0.8305,0.7951,MEDIUM
